Ticker,Mes,Precio_Inicial,Precio_Final,Rendimiento,Inflacion_Mensual,Le_Gano_A_Inflacion,Rendimiento_Acumulado_2024,Inflacion_Acumulada_2024
BRK-B,2024-04-01,22810.557,21660.466175,-5.04,8.8,False,31.14,119.83
BRK-B,2024-05-01,21761.47155,25846.5424,18.77,4.2,True,31.14,119.83
BRK-B,2024-06-01,26908.879065000005,27460.6272,2.05,4.6,False,31.14,119.83
BRK-B,2024-07-01,28611.68147,28170.117,-1.54,3.9,False,31.14,119.83
BRK-B,2024-08-01,28116.01272,30906.482760000003,9.92,3.6,True,31.14,119.83
BRK-B,2024-09-01,31063.09035,28622.18862,-7.86,3.4,False,31.14,119.83
BRK-B,2024-10-01,28504.41897,26106.91524,-8.41,3.3,False,31.14,119.83
BRK-B,2024-11-01,26602.56118,26806.16094,0.77,3.2,False,31.14,119.83
BRK-B,2024-12-01,26239.307430000004,26834.113440000005,2.27,3.1,False,31.14,119.83
COIN,2024-01-01,15634.817679999998,16011.539,2.41,20.6,False,84.57,119.83
COIN,2024-02-01,16511.0159,21816.13588,32.13,13.2,True,84.57,119.83
COIN,2024-03-01,22427.90115,28784.07840000001,28.34,11.0,True,84.57,119.83
COIN,2024-04-01,27371.582700000006,22268.13635,-18.65,8.8,False,84.57,119.83
COIN,2024-05-01,22940.777550000003,28181.71264,22.85,4.2,True,84.57,119.83
COIN,2024-06-01,30022.15833,30002.82783999999,-0.06,4.6,False,84.57,119.83
COIN,2024-07-01,32957.91162,28826.67024,-12.53,3.9,False,84.57,119.83
COIN,2024-08-01,27690.83136,23814.98016,-14.0,3.6,False,84.57,119.83
COIN,2024-09-01,22035.9477,22159.715579999996,0.56,3.4,False,84.57,119.83
COIN,2024-10-01,20565.85634,20756.0745,0.92,3.3,False,84.57,119.83
COIN,2024-11-01,21520.22112,32876.4228,52.77,3.2,True,84.57,119.83
COIN,2024-12-01,33246.4608,30333.18308,-8.76,3.1,False,84.57,119.83
DIA,2024-01-01,122207.64023333334,154978.04233333332,26.82,20.6,True,20.05,119.83
DIA,2024-02-01,160436.62600000002,136195.44840000002,-15.11,13.2,False,20.05,119.83
DIA,2024-03-01,138994.05716666667,141068.62000000002,1.49,11.0,False,20.05,119.83
DIA,2024-04-01,140207.298,134950.46066666665,-3.75,8.8,False,20.05,119.83
DIA,2024-05-01,135223.44816666667,158231.06893333336,17.01,4.2,True,20.05,119.83
DIA,2024-06-01,164034.8072,173233.26506666667,5.61,4.6,True,20.05,119.83
DIA,2024-07-01,181362.4292,172258.49879999997,-5.02,3.9,False,20.05,119.83
DIA,2024-08-01,172347.1232,177568.97383333332,3.03,3.6,False,20.05,119.83
DIA,2024-09-01,175574.461,173373.2102,-1.25,3.4,False,20.05,119.83
DIA,2024-10-01,173070.92686666665,159390.44100000002,-7.9,3.3,False,20.05,119.83
DIA,2024-11-01,163045.17193333333,164740.9946,1.04,3.2,False,20.05,119.83
DIA,2024-12-01,162692.1716,167131.6133,2.73,3.1,False,20.05,119.83
GGAL,2024-01-01,1560.69126,2492.9042,59.73,20.6,True,318.11,119.83
GGAL,2024-02-01,2581.32672,2177.75536,-15.63,13.2,False,318.11,119.83
GGAL,2024-03-01,2243.1171,2548.1379,13.6,11.0,True,318.11,119.83
GGAL,2024-04-01,2586.1374,3270.39025,26.46,8.8,True,318.11,119.83
